gen,bestAvg,bestWins,meanAvg,refAvg,refWins,matchesRun
0,2.0000,14,0.6423,0.4560,1,230
1,1.9048,13,0.8638,0.6940,3,460
2,1.6774,11,0.9491,0.6262,2,690
3,1.6905,11,0.9194,0.7655,4,920
4,1.7214,11,1.1634,1.0071,6,1150
5,1.8095,12,1.0703,0.5512,2,1380
6,1.8095,12,1.2234,0.4702,2,1610
7,1.7857,12,1.1754,0.6702,3,1840
8,2.0000,14,1.2294,0.7179,3,2070
9,1.7452,12,1.1729,0.8952,5,2300
10,1.7964,12,1.1299,1.0036,6,2530
11,1.9048,13,1.3775,0.5238,2,2760
12,2.0036,14,1.3501,0.7143,3,2990
13,1.9083,13,1.1714,0.8202,4,3220
14,1.8095,12,1.3091,0.6774,3,3450
15,1.8131,12,1.3657,0.4083,1,3680
16,1.6702,11,1.1561,0.5750,2,3910
17,1.8095,12,1.1275,0.8679,4,4140
