gen,bestKills,meanKills,seedKills,matchesRun
0,1.260,0.748,0.455,20
1,1.670,0.756,0.455,30
2,1.859,0.792,0.455,40
3,1.461,0.914,0.455,50
4,1.356,0.844,0.455,60
5,1.573,0.851,0.455,70
6,1.762,0.894,0.455,80
7,1.569,0.916,0.455,90
8,1.473,0.921,0.455,100
9,1.358,0.793,0.455,110
10,1.783,0.909,0.455,120
11,1.453,0.911,0.455,130
12,1.763,0.874,0.455,140
13,1.763,0.995,0.455,150
14,1.767,0.999,0.455,160
15,1.754,0.927,0.455,170
16,1.552,0.904,0.455,180
17,1.773,0.950,0.455,190
18,1.456,0.885,0.455,200
19,1.574,0.895,0.455,210
20,1.971,0.987,0.455,220
21,2.168,0.883,0.455,230
22,1.465,0.889,0.455,240
23,1.758,0.978,0.455,250
24,1.546,0.903,0.455,260
25,1.675,0.978,0.455,270
26,1.760,0.965,0.455,280
27,2.078,0.943,0.455,290
28,1.856,0.894,0.455,300
29,2.074,0.956,0.455,310
