gen,bestAvg,bestWins,meanAvg,hofSize,matchesRun
0,1.2178,7,0.6277,1,204
1,1.4802,7,0.7207,2,408
2,1.3023,7,0.7056,3,612
3,1.6370,10,0.6710,4,816
4,1.4736,8,0.8182,5,1020
5,1.4674,7,0.7339,6,1224
6,1.3374,6,0.7609,7,1428
7,1.4770,8,0.8197,8,1632
8,1.0392,5,0.6506,9,1836
9,1.4365,8,0.7574,10,2040
10,1.2387,7,0.5607,10,2244
11,0.9842,5,0.5287,10,2448
12,1.4150,8,0.7601,10,2652
13,1.1708,5,0.8575,10,2856
14,1.0889,6,0.6269,10,3060
15,1.2731,6,0.7429,10,3264
16,1.2640,6,0.7395,10,3468
17,1.3174,7,0.7393,10,3672
18,1.1660,5,0.6762,10,3876
19,1.2569,6,0.6158,10,4080
20,1.0270,5,0.4442,10,4284
21,1.3175,8,0.8579,10,4488
22,1.1895,7,0.6407,10,4692
23,1.0896,5,0.7126,10,4896
24,1.5525,9,0.7756,10,5100
25,1.1798,5,0.7418,10,5304
26,1.3104,6,0.8384,10,5508
27,1.3013,8,0.6464,10,5712
28,0.9340,5,0.5880,10,5916
29,1.3748,8,0.7301,10,6120
30,1.2638,6,0.6482,10,6324
31,0.8935,5,0.4080,10,6528
32,1.1383,6,0.6924,10,6732
33,1.3156,8,0.8851,10,6936
34,1.1590,6,0.6478,10,7140
35,1.2172,6,0.5589,10,7344
36,1.4147,7,0.5960,10,7548
37,0.9135,5,0.4158,10,7752
38,1.4476,8,0.9811,10,7956
39,1.2064,7,0.7440,10,8160
40,1.2678,6,0.8408,10,8364
41,1.4597,7,0.8523,10,8568
42,1.2089,7,0.8169,10,8772
43,1.7451,10,0.7416,10,8976
44,1.0263,6,0.5924,10,9180
45,1.0821,5,0.6177,10,9384
46,1.3911,7,0.6001,10,9588
47,1.2830,7,0.5818,10,9792
48,1.1185,5,0.5411,10,9996
49,1.3533,6,0.7884,10,10200
